month	ct_avg_Tdx收盘价	ct_avg_Tdx平均成交价	deviate_avg_100_ct_avg_Tdx收盘价	deviate_avg_100_ct_avg_Tdx平均成交价	ct_avg_noise_avg_Tdx收盘价	ct_avg_noise_avg_Tdx平均成交价
2020-06	4039.82	15.81	0.25	0.36	52.68	71.7	
2020-07	4636.31	17.15	0.42	0.47	85.71	92.93	
2020-08	4741.52	17.61	0.45	0.5	95.92	90.31	
2020-09	4666.88	18.21	0.41	0.54	83.52	92	
2020-10	4760.96	19.56	0.43	0.65	88.06	95.2	
2020-11	4904.8	18.16	0.47	0.52	96.26	80.1	
2020-12	5017.68	19.45	0.49	0.61	96.27	73.72	
2021-01	5478.51	22.05	0.61	0.81	98.12	95.04	
2021-02	5559.2	21.2	0.62	0.72	94.64	88.81	
2021-03	5113.36	17.56	0.48	0.42	68.87	37.15	
2021-04	5072.17	19.28	0.45	0.54	52.38	37.03	
2021-05	5159.54	20.05	0.47	0.59	53.87	55.61	
2021-06	5204.06	23.25	0.47	0.83	61.39	84.57	
2021-07	5049.46	22.63	0.41	0.76	24.35	78.73	
2021-08	4902.49	21.73	0.36	0.68	-17.29	72.36	
2021-09	4894.49	17.53	0.35	0.35	-30.98	8.3	
2021-10	4921.56	20.47	0.35	0.56	-31.08	10.94	
2021-11	4869.43	21.52	0.33	0.62	-50.24	46.59	
2021-12	4951.02	20.05	0.34	0.5	-35.87	2.87	
2022-01	4775.34	20.16	0.28	0.5	-61.09	-3.06	
2022-02	4606.39	19.3	0.23	0.42	-82.59	-32.09	
2022-03	4323.03	19.2	0.15	0.4	-88.69	-40.06	
2022-04	4083.84	17.48	0.08	0.27	-92.95	-66.54	
2022-05	3988.57	18.13	0.05	0.31	-90.7	-74.25	
2022-06	4281.33	19.85	0.12	0.42	-71.94	-40.35	
2022-07	4319.44	22.62	0.13	0.61	-63.43	15.39	
2022-08	4140.19	22.87	0.07	0.61	-80.12	43.94	
2022-09	3958.93	19.89	0.02	0.39	-90.39	21	
2022-10	3711.62	20.45	-0.05	0.42	-92.69	10.71	
2022-11	3765.19	18.04	-0.04	0.24	-86.04	-27.15	
2022-12	3904.77	18.49	0	0.26	-73.38	-47.24	
2023-01	4060.28	20.27	0.03	0.37	-46.21	-22.04	
2023-02	4110.82	19.15	0.04	0.29	-17.86	-30.18	
2023-03	4022.92	17.28	0.01	0.16	-21.97	-62.34	
2023-04	4072.65	20.03	0.02	0.33	4.61	-19.74	
2023-05	3940.71	16.51	-0.01	0.09	-28.3	-73.04	
2023-06	3855.45	19.35	-0.03	0.28	-60.71	-47.19	
2023-07	3878.08	18.81	-0.03	0.24	-67.43	-32.23	
2023-08	3853.92	17.33	-0.03	0.14	-57.14	-67.59	
2023-09	3742.06	17.08	-0.06	0.12	-82.23	-83.35	
2023-10	3587.91	16.97	-0.09	0.11	-85.71	-84.14	
2023-11	3568.07	16.68	-0.1	0.09	-84.58	-86.16	
2023-12	3377.15	16.31	-0.14	0.06	-95.58	-90.43	
2024-01	3290.94	15.14	-0.17	-0.02	-96.02	-95.17	
2024-02	3376.03	15.11	-0.14	-0.02	-84.5	-88.07	
2024-03	3556.41	17.72	-0.1	0.15	-52.98	-36.18	
2024-04	3546.87	15.38	-0.1	-0.01	-45	-70.8	
2024-05	3643.58	15.49	-0.08	0	-6.43	-78.3	
2024-06	3529.5	16.37	-0.11	0.05	-21.9	-48.17	
2024-07	3453.09	15.72	-0.13	0.01	-50.31	-57.88	
2024-08	3333.18	14.68	-0.16	-0.06	-75.08	-85.35	
2024-09	3315.13	14.52	-0.16	-0.08	-77.91	-84.92	
2024-10	3937.79	18.73	-0.01	0.19	3.97	-10.02	
2024-11	3982.96	18.86	0	0.19	60.29	42.6	
2024-12	3958.72	18.89	-0.01	0.19	76.42	69.64	
2025-01	3791.56	19.41	-0.05	0.21	63.33	78.16	
