month	平均成交价格	noise_avg_平均成交价格
2014-09	9.92	-17.39	
2014-10	9.94	21.74	
2014-11	9.89	17.39	
2014-12	10.97	91.3	
2015-01	12.17	100	
2015-02	12.89	100	
2015-03	13.62	100	
2015-04	15.33	100	
2015-05	17.6	100	
2015-06	17.92	100	
2015-07	13.84	65.22	
2015-08	13.93	56.52	
2015-09	11.82	13.04	
2015-10	13.66	13.04	
2015-11	15.52	30.43	
2015-12	16.24	47.83	
2016-01	13.09	30.43	
2016-02	12.59	-4.35	
2016-03	12.88	-21.74	
2016-04	14.04	13.04	
2016-05	13.88	-30.43	
2016-06	14.75	21.74	
2016-07	14.17	21.74	
2016-08	13.31	4.35	
2016-09	13.3	-34.78	
2016-10	13.07	-56.52	
2016-11	13.34	-65.22	
2016-12	12.88	-82.61	
2017-01	12.51	-82.61	
2017-02	12.51	-78.26	
2017-03	14.2	-30.43	
2017-04	12.53	-56.52	
2017-05	12.54	-73.91	
2017-06	12.49	-91.3	
2017-07	11.75	-91.3	
2017-08	11.93	-91.3	
2017-09	13	-56.52	
2017-10	13.47	-21.74	
2017-11	13.8	13.04	
2017-12	13.17	21.74	
2018-01	12.76	4.35	
2018-02	11.83	-21.74	
2018-03	12.71	-21.74	
2018-04	13.31	-8.7	
2018-05	13.24	-13.04	
2018-06	12.06	-65.22	
2018-07	10.93	-95.65	
2018-08	10.06	-100	
2018-09	9.47	-100	
2018-10	8.65	-100	
2018-11	8.2	-100	
2018-12	8.57	-91.3	
2019-01	8.19	-100	
2019-02	8.53	-82.61	
2019-03	9.54	-47.83	
2019-04	10.18	-13.04	
2019-05	9.67	-4.35	
2019-06	9.75	8.7	
2019-07	10.42	30.43	
2019-08	10.98	39.13	
2019-09	11.26	52.17	
2019-10	11.06	47.83	
2019-11	11.18	69.57	
2019-12	10.73	47.83	
2020-01	11.42	60.87	
2020-02	11.73	82.61	
2020-03	11.02	65.22	
2020-04	10.82	30.43	
2020-05	11.93	78.26	
2020-06	12.13	100	
2020-07	12.99	100	
2020-08	13.04	100	
2020-09	12.37	82.61	
2020-10	14.21	100	
2020-11	13.44	91.3	
2020-12	13.14	78.26	
2021-01	14.95	100	
2021-02	14.22	91.3	
2021-03	11.84	47.83	
2021-04	12.34	21.74	
2021-05	12.79	0	
2021-06	13.93	30.43	
2021-07	14.89	56.52	
2021-08	14.92	91.3	
2021-09	12.97	52.17	
2021-10	13.95	73.91	
2021-11	14.79	91.3	
2021-12	13.29	47.83	
2022-01	12.79	0	
2022-02	12.32	-56.52	
2022-03	12.15	-65.22	
2022-04	10.63	-73.91	
2022-05	10.96	-78.26	
2022-06	12.26	-65.22	
2022-07	12.68	-39.13	
2022-08	12.94	-13.04	
2022-09	11.75	-65.22	
2022-10	12.47	-8.7	
2022-11	12.23	-8.7	
2022-12	11.68	-56.52	
2023-01	12.44	-13.04	
2023-02	12.49	13.04	
2023-03	12.94	21.74	
2023-04	14.22	56.52	
2023-05	12.53	30.43	
2023-06	13.68	73.91	
2023-07	12.47	30.43	
2023-08	11.26	-21.74	
2023-09	11.71	-47.83	
2023-10	11.77	-73.91	
2023-11	11.88	-56.52	
2023-12	11.57	-78.26	
2024-01	10.53	-86.96	
2024-02	9.64	-100	
2024-03	11.5	-73.91	
2024-04	10.61	-82.61	
2024-05	10.57	-82.61	
2024-06	10.55	-91.3	
2024-07	10.18	-91.3	
2024-08	9.17	-100	
2024-09	9.26	-91.3	
2024-10	12.05	-39.13	
2024-11	11.81	-21.74	
2024-12	11.09	26.09	
