month	票值价格	noise_avg_票值价格
2017-12	10.55	39.13	
2018-01	10.85	65.22	
2018-02	10.36	13.04	
2018-03	10.29	-47.83	
2018-04	9.94	-91.3	
2018-05	9.87	-91.3	
2018-06	9.02	-100	
2018-07	8.94	-100	
2018-08	8.37	-100	
2018-09	8.53	-91.3	
2018-10	7.81	-100	
2018-11	7.87	-91.3	
2018-12	7.55	-100	
2019-01	7.74	-86.96	
2019-02	9.03	-39.13	
2019-03	9.65	-4.35	
2019-04	9.5	13.04	
2019-05	8.89	13.04	
2019-06	9.04	21.74	
2019-07	9.04	26.09	
2019-08	8.95	17.39	
2019-09	9.03	4.35	
2019-10	9.13	30.43	
2019-11	8.99	4.35	
2019-12	9.61	65.22	
2020-01	9.58	73.91	
2020-02	9.55	73.91	
2020-03	8.99	39.13	
2020-04	9.44	56.52	
2020-05	9.49	82.61	
2020-06	10.16	91.3	
2020-07	11.51	100	
2020-08	11.81	100	
2020-09	11.17	91.3	
2020-10	11.35	82.61	
2020-11	11.84	100	
2020-12	12.18	100	
2021-01	12.21	100	
2021-02	12.15	91.3	
2021-03	11.87	73.91	
2021-04	12.13	82.61	
2021-05	12.75	100	
2021-06	12.78	100	
2021-07	12.24	73.91	
2021-08	12.58	82.61	
2021-09	12.49	73.91	
2021-10	12.46	82.61	
2021-11	12.85	91.3	
2021-12	12.96	100	
2022-01	11.81	21.74	
2022-02	12.14	13.04	
2022-03	11.28	-39.13	
2022-04	10.33	-56.52	
2022-05	10.88	-65.22	
2022-06	11.79	-43.48	
2022-07	11.46	-47.83	
2022-08	11.21	-78.26	
2022-09	10.47	-73.91	
2022-10	10.18	-82.61	
2022-11	10.99	-73.91	
2022-12	10.75	-82.61	
2023-01	11.47	-30.43	
2023-02	11.54	-4.35	
2023-03	11.49	30.43	
2023-04	11.45	13.04	
2023-05	11.07	4.35	
2023-06	11.13	4.35	
2023-07	11.36	26.09	
2023-08	10.8	-39.13	
2023-09	10.69	-78.26	
2023-10	10.43	-91.3	
2023-11	10.48	-82.61	
2023-12	10.24	-91.3	
2024-01	9.19	-100	
2024-02	10.02	-82.61	
2024-03	10.18	-73.91	
2024-04	10.32	-47.83	
2024-05	10.19	-47.83	
2024-06	9.67	-73.91	
2024-07	9.6	-82.61	
2024-08	9.3	-91.3	
2024-09	11.19	-34.78	
2024-10	11.23	30.43	
2024-11	11.39	39.13	
2024-12	11.29	56.52	
