month	ct_avg_Tdx平均成交价	deviate_avg_100_ct_avg_Tdx平均成交价
2014-01	12.49	0.11	
2014-02	12.76	0.13	
2014-03	11.56	0.01	
2014-04	11.12	-0.03	
2014-05	11.29	-0.02	
2014-06	11.64	0	
2014-07	10.93	-0.06	
2014-08	11.11	-0.05	
2014-09	11.67	-0.01	
2014-10	11.93	0.01	
2014-11	12.19	0.02	
2014-12	12.96	0.08	
2015-01	14.33	0.19	
2015-02	15.29	0.26	
2015-03	16.26	0.33	
2015-04	18.39	0.49	
2015-05	20.9	0.67	
2015-06	21.88	0.73	
2015-07	16.71	0.31	
2015-08	16.14	0.26	
2015-09	13.45	0.05	
2015-10	15.45	0.21	
2015-11	17.93	0.4	
2015-12	18.87	0.47	
2016-01	15.2	0.18	
2016-02	14.95	0.17	
2016-03	15.07	0.18	
2016-04	16.57	0.29	
2016-05	16.07	0.26	
2016-06	16.76	0.31	
2016-07	16.2	0.27	
2016-08	15.17	0.18	
2016-09	15.02	0.17	
2016-10	14.97	0.16	
2016-11	15.56	0.21	
2016-12	14.8	0.14	
2017-01	14.13	0.08	
2017-02	14.09	0.07	
2017-03	16.14	0.22	
2017-04	14	0.05	
2017-05	13.9	0.04	
2017-06	13.46	0	
2017-07	12.83	-0.05	
2017-08	13	-0.04	
2017-09	14.25	0.05	
2017-10	14.26	0.05	
2017-11	14.67	0.08	
2017-12	13.96	0.02	
2018-01	13.59	0	
2018-02	12.43	-0.09	
2018-03	13.44	-0.01	
2018-04	13.95	0.02	
2018-05	13.61	0	
2018-06	12.34	-0.09	
2018-07	11.15	-0.18	
2018-08	9.98	-0.26	
2018-09	9.11	-0.32	
2018-10	8.43	-0.37	
2018-11	8.17	-0.39	
2018-12	8.47	-0.37	
2019-01	8.15	-0.39	
2019-02	8.39	-0.36	
2019-03	9.56	-0.27	
2019-04	10.23	-0.22	
2019-05	9.69	-0.25	
2019-06	9.81	-0.24	
2019-07	10.2	-0.21	
2019-08	10.62	-0.17	
2019-09	11.11	-0.13	
2019-10	10.94	-0.14	
2019-11	11.27	-0.12	
2019-12	10.8	-0.15	
2020-01	11.4	-0.1	
2020-02	11.85	-0.06	
2020-03	11.17	-0.12	
2020-04	10.86	-0.14	
2020-05	11.8	-0.07	
2020-06	12.1	-0.04	
2020-07	13.05	0.03	
2020-08	12.98	0.02	
2020-09	12.35	-0.03	
2020-10	14.29	0.12	
2020-11	13.91	0.09	
2020-12	13.29	0.04	
2021-01	15.28	0.19	
2021-02	15	0.17	
2021-03	12.31	-0.05	
2021-04	12.54	-0.03	
2021-05	13.11	0.01	
2021-06	13.94	0.07	
2021-07	15.12	0.16	
2021-08	15.52	0.19	
2021-09	13.95	0.06	
2021-10	14.84	0.13	
2021-11	15.08	0.14	
2021-12	13.8	0.04	
2022-01	13.02	-0.02	
2022-02	12.85	-0.03	
2022-03	12.48	-0.06	
2022-04	11.02	-0.17	
2022-05	11.25	-0.15	
2022-06	12.43	-0.06	
2022-07	12.63	-0.05	
2022-08	12.62	-0.05	
2022-09	11.59	-0.13	
2022-10	11.97	-0.1	
2022-11	12.03	-0.09	
2022-12	11.58	-0.13	
2023-01	12.2	-0.08	
2023-02	12.32	-0.07	
2023-03	13.16	-0.01	
2023-04	14.43	0.08	
2023-05	13.32	0	
2023-06	14.02	0.05	
2023-07	12.57	-0.05	
2023-08	11.69	-0.12	
2023-09	11.87	-0.09	
2023-10	11.84	-0.09	
2023-11	11.83	-0.09	
2023-12	11.68	-0.1	
2024-01	10.62	-0.18	
2024-02	9.4	-0.27	
2024-03	11.4	-0.11	
2024-04	10.62	-0.16	
2024-05	10.52	-0.17	
2024-06	10.46	-0.17	
2024-07	10.17	-0.19	
2024-08	8.9	-0.29	
2024-09	8.9	-0.28	
2024-10	12.5	0.01	
2024-11	12.11	-0.02	
2024-12	11.41	-0.07	
2025-01	11.44	-0.07	
